"Sexe"	"Prénom"	"Nom"	"Groupe"	"Département.d.élection"	"Num.circonscription"	"Commission.permanente"	"Twitter"
"M."	"Alain"	"Bocquet"	"GDR"	"Nord"	20	"Affaires étrangères"	NA
"M."	"Alain"	"Calmette"	"SRC"	"Cantal"	1	"Développement durable"	NA
"M."	"Alain"	"Chrétien"	"UMP"	"Haute-Saône"	1	"Défense"	"alainchretien"
"M."	"Alain"	"Claeys"	"SRC"	"Vienne"	1	"Finances"	NA
"M."	"Alain"	"Fauré"	"SRC"	"Ariège"	2	"Finances"	NA
"M."	"Alain"	"Gest"	"UMP"	"Somme"	4	"Développement durable"	"alain_gest"
"M."	"Alain"	"Leboeuf"	"UMP"	"Vendée"	1	"Développement durable"	"a_leboeuf"
"M."	"Alain"	"Marc"	"UMP"	"Aveyron"	3	"Affaires économiques"	NA
"M."	"Alain"	"Marleix"	"UMP"	"Cantal"	2	"Défense"	"marleixalain"
"M."	"Alain"	"Marsaud"	"UMP"	"Français établis hors de France"	10	"Affaires étrangères"	"alain_marsaud"
"M."	"Alain"	"Marty"	"UMP"	"Moselle"	4	"Défense"	NA
"M."	"Alain"	"Moyne-Bressand"	"UMP"	"Isère"	6	"Défense"	"moyne_bressand"
"M."	"Alain"	"Rodet"	"SRC"	"Haute-Vienne"	1	"Finances"	NA
"M."	"Alain"	"Rousset"	"SRC"	"Gironde"	7	"Défense"	"al_rousset"
"M."	"Alain"	"Suguenot"	"UMP"	"Côte-d'Or"	5	"Affaires économiques"	"A_Suguenot"
"M."	"Alain"	"Tourret"	"RRDP"	"Calvados"	6	"Lois"	"AlainTourret"
"M."	"Alexis"	"Bachelay"	"SRC"	"Hauts-de-Seine"	1	"Développement durable"	"ABachelay"
"M."	"Alfred"	"Marie-Jeanne"	"GDR"	"Martinique"	1	"Lois"	NA
"M."	"André"	"Chassaigne"	"GDR"	"Puy-de-Dôme"	5	"Affaires économiques"	"AndreChassaigne"
"M."	"André"	"Santini"	"UDI"	"Hauts-de-Seine"	10	"Affaires étrangères"	"ASantini_UDI"
"M."	"André"	"Schneider"	"UMP"	"Bas-Rhin"	3	"Affaires étrangères"	NA
"Mme"	"Anne"	"Grommerch"	"UMP"	"Moselle"	9	"Affaires économiques"	"annegrommerch"
"Mme"	"Anne-Lise"	"Dufour-Tonini"	"SRC"	"Nord"	19	"Affaires culturelles et éducation"	NA
"Mme"	"Anne-Yvonne"	"Le Dain"	"SRC"	"Hérault"	2	"Lois"	"Ayledain"
"Mme"	"Annick"	"Girardin"	"RRDP"	"Saint-Pierre-et-Miquelon"	1	"Finances"	NA
"Mme"	"Annick"	"Lepetit"	"SRC"	"Paris"	3	"Affaires économiques"	"Annick_Lepetit"
"Mme"	"Annick"	"Le Loch"	"SRC"	"Finistère"	7	"Affaires économiques"	"annick_leloch"
"Mme"	"Annie"	"Genevard"	"UMP"	"Doubs"	5	"Affaires culturelles et éducation"	NA
"Mme"	"Annie"	"Le Houerou"	"SRC"	"Côtes-d'Armor"	4	"Affaires sociales"	NA
"M."	"Antoine"	"Herth"	"UMP"	"Bas-Rhin"	5	"Affaires économiques"	NA
"Mme"	"Arlette"	"Grosskost"	"UMP"	"Haut-Rhin"	5	"Finances"	"agrosskost"
"M."	"Armand"	"Jung"	"SRC"	"Bas-Rhin"	1	"Affaires économiques"	NA
"M."	"Arnaud"	"Leroy"	"SRC"	"Français établis hors de France"	5	"Développement durable"	"ar_leroy"
"M."	"Arnaud"	"Richard"	"UDI"	"Yvelines"	7	"Affaires sociales"	"ArnaudRichard_"
"M."	"Arnaud"	"Robinet"	"UMP"	"Marne"	1	"Affaires sociales"	"DeputeARobinet"
"M."	"Ary"	"Chalus"	"RRDP"	"Guadeloupe"	3	"Affaires culturelles et éducation"	NA
"Mme"	"Audrey"	"Linkenheld"	"SRC"	"Nord"	2	"Affaires économiques"	NA
"M."	"Avi"	"Assouly"	"SRC"	"Bouches-du-Rhône"	5	"Affaires étrangères"	NA
"M."	"Axel"	"Poniatowski"	"UMP"	"Val-d'Oise"	2	"Affaires étrangères"	"AxelPoniatowski"
"Mme"	"Axelle"	"Lemaire"	"SRC"	"Français établis hors de France"	3	"Lois"	"axellelemaire"
"Mme"	"Barbara"	"Pompili"	"Ecolo"	"Somme"	2	"Affaires culturelles et éducation"	"PompiliBarbara"
"Mme"	"Barbara"	"Romagnan"	"SRC"	"Doubs"	1	"Affaires sociales"	"bromagnan"
"Mme"	"Béatrice"	"Santais"	"SRC"	"Savoie"	3	"Affaires économiques"	NA
"M."	"Benoist"	"Apparu"	"UMP"	"Marne"	4	"Affaires culturelles et éducation"	"benoistapparu"
"Mme"	"Bérengère"	"Poletti"	"UMP"	"Ardennes"	1	"Affaires sociales"	NA
"Mme"	"Bernadette"	"Laclais"	"SRC"	"Savoie"	4	"Affaires sociales"	NA
"M."	"Bernard"	"Accoyer"	"UMP"	"Haute-Savoie"	1	"Affaires sociales"	"BernardAccoyer"
"M."	"Bernard"	"Brochand"	"UMP"	"Alpes-Maritimes"	8	"Affaires culturelles et éducation"	NA
"M."	"Bernard"	"Debré"	"UMP"	"Paris"	4	"Affaires culturelles et éducation"	"bernard_debre"
"M."	"Bernard"	"Deflesselles"	"UMP"	"Bouches-du-Rhône"	9	"Défense"	NA
"M."	"Bernard"	"Gérard"	"UMP"	"Nord"	9	"Lois"	"bgerard59"
"M."	"Bernard"	"Lesterlin"	"SRC"	"Allier"	2	"Lois"	"BLesterlin"
"M."	"Bernard"	"Perrut"	"UMP"	"Rhône"	9	"Affaires sociales"	"B_Perrut"
"M."	"Bernard"	"Reynès"	"UMP"	"Bouches-du-Rhône"	15	"Affaires économiques"	"bernardreynes"
"M."	"Bernard"	"Roman"	"SRC"	"Nord"	1	"Lois"	"bernardroman59"
"M."	"Bertrand"	"Pancher"	"UDI"	"Meuse"	1	"Développement durable"	"bertrandpancher"
"M."	"Boinali"	"Said"	"SRC"	"Mayotte"	1	"Affaires étrangères"	NA
"Mme"	"Brigitte"	"Allain"	"Ecolo"	"Dordogne"	2	"Affaires économiques"	"BrigitteAllain"
"Mme"	"Brigitte"	"Bourguignon"	"SRC"	"Pas-de-Calais"	6	"Affaires culturelles et éducation"	"BourguignonBrig"
"M."	"Bruno"	"Le Maire"	"UMP"	"Eure"	1	"Finances"	"Bruno_LeMaire"
"M."	"Bruno Nestor"	"Azerot"	"GDR"	"Martinique"	2	"Affaires économiques"	NA
"M."	"Bruno"	"Le Roux"	"SRC"	"Seine-Saint-Denis"	1	"Défense"	"BrunoLeRoux"
"M."	"Camille"	"de Rocca Serra"	"UMP"	"Corse-du-Sud"	2	"Finances"	"CdeRoccaSerra"
"M."	"Carlos"	"Da Silva"	"SRC"	"Essonne"	1	"Lois"	"DaSilvaCarlos91"
"Mme"	"Carole"	"Delga"	"SRC"	"Haute-Garonne"	8	"Finances"	"CaroleDelga"
"Mme"	"Catherine"	"Beaubatie"	"SRC"	"Haute-Vienne"	3	"Développement durable"	NA
"Mme"	"Catherine"	"Coutelle"	"SRC"	"Vienne"	2	"Défense"	"CCoutelle"
"Mme"	"Catherine"	"Lemorton"	"SRC"	"Haute-Garonne"	1	"Affaires sociales"	"CathLEMORTON"
"Mme"	"Catherine"	"Quéré"	"SRC"	"Charente-Maritime"	3	"Développement durable"	NA
"Mme"	"Catherine"	"Troallic"	"SRC"	"Seine-Maritime"	8	"Affaires économiques"	"CaTroallic"
"Mme"	"Catherine"	"Vautrin"	"UMP"	"Marne"	2	"Affaires économiques"	"cavautrin"
"Mme"	"Cécile"	"Untermaier"	"SRC"	"Saône-et-Loire"	4	"Lois"	NA
"M."	"Céleste"	"Lett"	"UMP"	"Moselle"	5	"Affaires sociales"	NA
"Mme"	"Chantal"	"Berthelot"	"SRC"	"Guyane"	2	"Développement durable"	NA
"Mme"	"Chantal"	"Guittet"	"SRC"	"Finistère"	5	"Affaires étrangères"	"chantalguittet"
"M."	"Charles"	"de Courson"	"UDI"	"Marne"	5	"Finances"	"c_decourson"
"M."	"Charles"	"de La Verpillière"	"UMP"	"Ain"	2	"Défense"	"delaverpilliere"
"M."	"Charles-Ange"	"Ginesy"	"UMP"	"Alpes-Maritimes"	2	"Développement durable"	"ca_ginesy"
"Mme"	"Chaynesse"	"Khirouni"	"SRC"	"Meurthe-et-Moselle"	1	"Affaires sociales"	NA
"M."	"Christian"	"Assaf"	"SRC"	"Hérault"	8	"Développement durable"	"assaf2012"
"M."	"Christian"	"Bataille"	"SRC"	"Nord"	12	"Affaires étrangères"	NA
"M."	"Christian"	"Eckert"	"SRC"	"Meurthe-et-Moselle"	3	"Finances"	"CECKERT56"
"M."	"Christian"	"Estrosi"	"UMP"	"Alpes-Maritimes"	5	"Finances"	"cestrosi"
"M."	"Christian"	"Franqueville"	"SRC"	"Vosges"	4	"Affaires économiques"	NA
"M."	"Christian"	"Hutin"	"SRC"	"Nord"	13	"Affaires sociales"	NA
"M."	"Christian"	"Jacob"	"UMP"	"Seine-et-Marne"	4	"Développement durable"	NA
"M."	"Christian"	"Kert"	"UMP"	"Bouches-du-Rhône"	11	"Affaires culturelles et éducation"	"christian_kert"
"M."	"Christian"	"Paul"	"SRC"	"Nièvre"	2	"Affaires sociales"	"christianpaul58"
"Mme"	"Christine"	"Pires Beaune"	"SRC"	"Puy-de-Dôme"	2	"Finances"	"cpiresbeaune"
"M."	"Christophe"	"Borgel"	"SRC"	"Haute-Garonne"	9	"Affaires économiques"	"chborgel"
"M."	"Christophe"	"Bouillon"	"SRC"	"Seine-Maritime"	5	"Développement durable"	"Chris_Bouillon"
"M."	"Christophe"	"Caresche"	"SRC"	"Paris"	18	"Finances"	"CCaresche"
"M."	"Christophe"	"Castaner"	"SRC"	"Alpes-de-Haute-Provence"	2	"Finances"	"CCastaner"
"M."	"Christophe"	"Cavard"	"Ecolo"	"Gard"	6	"Affaires sociales"	"ccavard"
"M."	"Christophe"	"Guilloteau"	"UMP"	"Rhône"	10	"Défense"	NA
"M."	"Christophe"	"Léonard"	"SRC"	"Ardennes"	2	"Défense"	"Ch_Leonard"
"M."	"Christophe"	"Priou"	"UMP"	"Loire-Atlantique"	7	"Développement durable"	NA
"M."	"Christophe"	"Sirugue"	"SRC"	"Saône-et-Loire"	5	"Affaires sociales"	NA
"M."	"Claude"	"de Ganay"	"UMP"	"Loiret"	3	"Développement durable"	"cdganay"
"M."	"Claude"	"Bartolone"	"SRC"	"Seine-Saint-Denis"	9	"Défense"	"claudebartolone"
"M."	"Claude"	"Goasguen"	"UMP"	"Paris"	14	"Finances"	"claudegoasguen"
"Mme"	"Claude"	"Greff"	"UMP"	"Indre-et-Loire"	2	"Affaires culturelles et éducation"	"claudegreff"
"M."	"Claude"	"Sturni"	"UMP"	"Bas-Rhin"	9	"Affaires culturelles et éducation"	NA
"Mme"	"Claudine"	"Schmid"	"UMP"	"Français établis hors de France"	6	"Affaires culturelles et éducation"	"Claudine_Schmid"
"Mme"	"Clotilde"	"Valter"	"SRC"	"Calvados"	3	"Affaires économiques"	"ClotildeValter"
"Mme"	"Colette"	"Capdevielle"	"SRC"	"Pyrénées-Atlantiques"	5	"Lois"	"c_capdevielle"
"Mme"	"Colette"	"Langlade"	"SRC"	"Dordogne"	3	"Affaires culturelles et éducation"	"langladecolette"
"Mme"	"Conchita"	"Lacuey"	"SRC"	"Gironde"	4	"Affaires sociales"	"ConchitaLacuey"
"Mme"	"Corinne"	"Erhel"	"SRC"	"Côtes-d'Armor"	5	"Affaires économiques"	"c_erhel_deputee"
"Mme"	"Corinne"	"Narassiguin"	"SRC"	"Français établis hors de France"	1	"Lois"	"CorinneNara"
"M."	"Damien"	"Abad"	"UMP"	"Ain"	5	"Affaires économiques"	"damienabad"
"M."	"Damien"	"Meslot"	"UMP"	"Territoire-de-Belfort"	1	"Défense"	NA
"M."	"Daniel"	"Boisserie"	"SRC"	"Haute-Vienne"	2	"Défense"	NA
"M."	"Daniel"	"Fasquelle"	"UMP"	"Pas-de-Calais"	4	"Affaires économiques"	"dfasquelle"
"M."	"Daniel"	"Gibbs"	"UMP"	"Saint-Barthélemy et Saint-Martin"	1	"Lois"	"GIBBS_SXM"
"M."	"Daniel"	"Goldberg"	"SRC"	"Seine-Saint-Denis"	10	"Affaires économiques"	"goldbergdaniel"
"M."	"Daniel"	"Vaillant"	"SRC"	"Paris"	17	"Lois"	"danielvaillant"
"Mme"	"Danièle"	"Hoffman-Rispal"	"SRC"	"Paris"	6	"Défense"	"Dhoffmanrispal"
"Mme"	"Danielle"	"Auroi"	"Ecolo"	"Puy-de-Dôme"	3	"Affaires étrangères"	NA
"Mme"	"Daphna"	"Poznanski-Benhamou"	"SRC"	"Français établis hors de France"	8	"Défense"	"DaphnaPoznanski"
"M."	"David"	"Douillet"	"UMP"	"Yvelines"	12	"Développement durable"	"ddouillet"
"M."	"David"	"Habib"	"SRC"	"Pyrénées-Atlantiques"	3	"Affaires économiques"	NA
"M."	"David"	"Vergé"	"SRC"	"Wallis-et-Futuna"	1	"Développement durable"	NA
"M."	"Denis"	"Baupin"	"Ecolo"	"Paris"	10	"Développement durable"	"Denis_Baupin"
"M."	"Denis"	"Jacquat"	"UMP"	"Moselle"	2	"Affaires sociales"	NA
"M."	"Denys"	"Robiliard"	"SRC"	"Loir-et-Cher"	1	"Affaires sociales"	NA
"M."	"Didier"	"Quentin"	"UMP"	"Charente-Maritime"	5	"Lois"	NA
"M."	"Dino"	"Cinieri"	"UMP"	"Loire"	4	"Affaires économiques"	NA
"M."	"Dominique"	"Baert"	"SRC"	"Nord"	8	"Finances"	NA
"M."	"Dominique"	"Bussereau"	"UMP"	"Charente-Maritime"	4	"Lois"	"Dbussereau"
"Mme"	"Dominique"	"Chauvel"	"SRC"	"Seine-Maritime"	10	"Affaires culturelles et éducation"	"deputeeChauvel"
"M."	"Dominique"	"Dord"	"UMP"	"Savoie"	1	"Affaires sociales"	"DominiqueDord"
"M."	"Dominique"	"Lefebvre"	"SRC"	"Val-d'Oise"	10	"Finances"	NA
"M."	"Dominique"	"Le Mèner"	"UMP"	"Sarthe"	5	"Affaires culturelles et éducation"	"lemenerdom"
"Mme"	"Dominique"	"Nachury"	"UMP"	"Rhône"	4	"Affaires culturelles et éducation"	NA
"Mme"	"Dominique"	"Orliac"	"RRDP"	"Lot"	1	"Affaires sociales"	NA
"M."	"Dominique"	"Potier"	"SRC"	"Meurthe-et-Moselle"	5	"Affaires économiques"	"PotierDominique"
"M."	"Dominique"	"Raimbourg"	"SRC"	"Loire-Atlantique"	4	"Lois"	"Raimbourg2012"
"M."	"Dominique"	"Tian"	"UMP"	"Bouches-du-Rhône"	2	"Affaires sociales"	"Dominique_TIAN"
"Mme"	"Edith"	"Gueugneau"	"SRC"	"Saône-et-Loire"	2	"Défense"	NA
"M."	"Édouard"	"Courtial"	"UMP"	"Oise"	7	"Affaires étrangères"	"edouardcourtial"
"M."	"Édouard"	"Fritch"	"UDI"	"Polynésie Française"	1	"Lois"	NA
"M."	"Edouard"	"Philippe"	"UMP"	"Seine-Maritime"	7	"Développement durable"	"ephilippe2000"
"M."	"Eduardo"	"Rihan Cypel"	"SRC"	"Seine-et-Marne"	8	"Défense"	"Rihan_Cypel"
"M."	"Élie"	"Aboud"	"UMP"	"Hérault"	6	"Affaires sociales"	"Elie_ABOUD"
"Mme"	"Élisabeth"	"Guigou"	"SRC"	"Seine-Saint-Denis"	6	"Affaires étrangères"	"elisabethguigou"
"Mme"	"Elisabeth"	"Pochon"	"SRC"	"Seine-Saint-Denis"	8	"Lois"	"ElisabethPochon"
"M."	"Emeric"	"Bréhier"	"SRC"	"Seine-et-Marne"	10	"Affaires culturelles et éducation"	NA
"Mme"	"Émilienne"	"Poumirol"	"SRC"	"Haute-Garonne"	10	"Défense"	NA
"M."	"Éric"	"Alauzet"	"Ecolo"	"Doubs"	2	"Finances"	"ericalauzet"
"M."	"Éric"	"Ciotti"	"UMP"	"Alpes-Maritimes"	1	"Lois"	"ECiotti"
"M."	"Éric"	"Jalton"	"SRC"	"Guadeloupe"	1	"Défense"	"EricJALTON"
"M."	"Éric"	"Straumann"	"UMP"	"Haut-Rhin"	1	"Affaires économiques"	"ericstraumann"
"M."	"Éric"	"Woerth"	"UMP"	"Oise"	4	"Finances"	"woertheric"
"Mme"	"Ericka"	"Bareigts"	"SRC"	"Réunion"	1	"Affaires économiques"	"ebareigts"
"M."	"Erwann"	"Binet"	"SRC"	"Isère"	8	"Lois"	"ErwannBinet"
"Mme"	"Estelle"	"Grelier"	"SRC"	"Seine-Maritime"	9	"Affaires étrangères"	"EstelleGrelier"
"M."	"Étienne"	"Blanc"	"UMP"	"Ain"	3	"Finances"	"blanc_etienne"
"Mme"	"Eva"	"Sas"	"Ecolo"	"Essonne"	7	"Finances"	"EvaSasAN"
"M."	"Fabrice"	"Verdier"	"SRC"	"Gard"	4	"Affaires économiques"	"F_Verdier"
"Mme"	"Fanélie"	"Carrey-Conte"	"SRC"	"Paris"	15	"Affaires sociales"	"FCarreyConte"
"Mme"	"Fanny"	"Dombre Coste"	"SRC"	"Hérault"	3	"Développement durable"	"fdc2012"
"M."	"Fernand"	"Siré"	"UMP"	"Pyrénées-Orientales"	2	"Affaires sociales"	NA
"Mme"	"Florence"	"Delaunay"	"SRC"	"Landes"	1	"Développement durable"	NA
"M."	"Florent"	"Boudié"	"SRC"	"Gironde"	10	"Développement durable"	"florent_boudie"
"M."	"Francis"	"Hillmeyer"	"UDI"	"Haut-Rhin"	6	"Défense"	NA
"M."	"Francis"	"Vercamer"	"UDI"	"Nord"	7	"Affaires sociales"	NA
"M."	"Franck"	"Gilard"	"UMP"	"Eure"	5	"Affaires économiques"	NA
"M."	"Franck"	"Marlin"	"UMP"	"Essonne"	2	"Développement durable"	"franckmarlin"
"M."	"Franck"	"Reynier"	"UDI"	"Drôme"	2	"Affaires économiques"	"franckreynier"
"M."	"Franck"	"Riester"	"UMP"	"Seine-et-Marne"	5	"Affaires culturelles et éducation"	"franckriester"
"M."	"François"	"de Mazières"	"UMP"	"Yvelines"	1	"Affaires culturelles et éducation"	NA
"M."	"François"	"de Rugy"	"Ecolo"	"Loire-Atlantique"	1	"Défense"	"fderugy"
"M."	"François"	"André"	"SRC"	"Ille-et-Vilaine"	3	"Défense"	"francoisandre35"
"M."	"François"	"Asensi"	"GDR"	"Seine-Saint-Denis"	11	"Affaires étrangères"	NA
"M."	"François"	"Baroin"	"UMP"	"Aube"	3	"Finances"	"francoisbaroin"
"M."	"François"	"Brottes"	"SRC"	"Isère"	5	"Affaires économiques"	NA
"M."	"François"	"Cornut-Gentille"	"UMP"	"Haute-Marne"	2	"Finances"	NA
"M."	"François"	"Fillon"	"UMP"	"Paris"	2	"Affaires étrangères"	"FrancoisFillon"
"M."	"François"	"Loncle"	"SRC"	"Eure"	4	"Affaires étrangères"	NA
"M."	"François"	"Pupponi"	"SRC"	"Val-d'Oise"	8	"Affaires économiques"	"fpupponi"
"M."	"François"	"Rochebloine"	"UDI"	"Loire"	3	"Affaires étrangères"	NA
"M."	"François"	"Sauvadet"	"UDI"	"Côte-d'Or"	4	"Affaires économiques"	"sauvadet"
"M."	"François"	"Scellier"	"UMP"	"Val-d'Oise"	6	"Affaires étrangères"	NA
"M."	"François"	"Vannson"	"UMP"	"Vosges"	3	"Lois"	"fvannson"
"Mme"	"Françoise"	"Descamps-Crosnier"	"SRC"	"Yvelines"	8	"Lois"	NA
"Mme"	"Françoise"	"Dubois"	"SRC"	"Sarthe"	1	"Développement durable"	"fdubois2012"
"Mme"	"Françoise"	"Dumas"	"SRC"	"Gard"	1	"Affaires culturelles et éducation"	"Fr_Dumas"
"Mme"	"Françoise"	"Guégot"	"UMP"	"Seine-Maritime"	2	"Lois"	"fguegot"
"Mme"	"Françoise"	"Imbert"	"SRC"	"Haute-Garonne"	5	"Affaires étrangères"	NA
